"22,8","19,2","26,5","6,7",0,"31,0","520,5"
"22,6","19,4","29,1","7,8",1,"31,8","510,7"
"22,5","18,3","28,9","4,3",0,"31,5","507,2"
"22,3","18,6","29,0","0,0",0,"29,1","497,5"
"21,1","18,2","26,9","6,7",0,"31,1","444,8"
"21,1","18,2","27,0","0,0",0,"28,0","444,8"
"23,3","19,7","29,9","12,0",0,"32,9","543,1"
"20,7","15,2","26,9","0,0",1,"32,4","427,6"
"24,9","19,5","29,8","2,2",0,"28,2","618,6"
"19,9","16,0","24,9","0,0",0,"29,0","394,2"
"24,8","22,2","30,3","0,0",0,"28,4","615,7"
"22,2","20,7","26,2","0,0",0,"29,3","492,3"
"23,1","17,4","30,4","38,2",0,"31,3","534,0"
"25,8","20,7","31,9","2,0",0,"32,8","663,3"
"18,8","15,5","23,8","0,0",0,"32,8","351,8"
"22,4","19,6","27,0","17,1",1,"29,4","503,6"
"15,9","10,8","23,3","0,0",0,"29,8","252,0"
"21,7","19,5","23,2","3,1",0,"30,7","469,9"
"16,7","15,5","18,8","23,1",0,"31,9","280,2"
"23,8","20,1","31,3","0,0",0,"30,2","567,1"
"21,0","17,7","27,0","2,4",0,"31,7","439,8"
"20,1","17,2","26,8","13,1",0,"31,9","403,6"
"24,2","21,3","27,6","0,0",0,"29,8","586,9"
"22,9","17,4","29,2","92,9",1,"29,3","523,2"
"19,7","13,5","25,8","0,0",1,"29,8","388,0"
"19,7","18,5","21,2","2,4",0,"29,0","386,5"
"21,6","20,3","24,3","1,5",0,"28,3","466,5"
"15,7","12,8","22,9","0,0",0,"32,2","246,5"
"25,4","21,0","34,7","0,0",0,"32,8","647,2"
"23,5","18,9","30,1","0,0",0,"30,8","553,2"